glycoform,Glycan_Mass
N1@single-GlcNAc_(Gn),203.0794
H2N2@MU_,730.2644
H2N2X@MUX_,862.3067
H3N2@MM_,892.3172
H2N2XF@MUXF_,1008.3646
H3N2X@MMX_,1024.3595
H3N2F@MMF_,1038.3751
H4N2@Man4,1054.37
H2N3F@GnUF,1079.4017
H3N3@GnM_,1095.3966
H3N2XF@MMXF,1170.4174
H5N2@Man5,1216.4228
H3N3X@GnMX_,1227.4389
H3N3F@GnMF_oder_MMF(bi),1241.4545
H4N3@Man4Gn_oder_AM,1257.4494
H2N5F@GnUF(bi)_,1282.4811
H3N4@GnGn_,1298.476
H3N3XF@GnMXF_,1373.4968
H6N2@Man6,1378.4756
H4N3X@AMX_,1389.4917
H4N3F@AMF_,1403.5073
H5N3@Man5Gn,1419.5022
H3N4X@GnGnX_,1430.5183
H3N4F@GnGnF_oder_GnMF(bi),1444.5339
H4N4@AGn_oder_GnMan4(bi),1460.5288
H4N3XF@AMXF_,1535.5496
H7N2@Man7,1540.5284
H4N3S@NaM,1548.5448
H3N4XF@GnGnXF,1576.5762
H6N3@Man5Gn+1xHex,1581.555
H4H4X@AGnX_,1592.5711
H4N4F@AGnF_oder_AMF(bi),1606.5867
H5N4@AA_oder_GnMan5(bi),1622.5816
H3N5F@GnGnF(bi)_,1647.6133
H4N3SF@NaMF_,1694.6027
H8N2@Man8_,1702.5812
H4H4XF@AGnXF,1738.629
H4N4S@NaGn_oder_NaM(bi),1751.6242
H5N4X@AAX_,1754.6239
H5N4F@AAF_,1768.6395
H6N4@AMan5(bi),1784.6344
H4N5@AGnF(bi)_,1809.6661
H9N2@Man9,1864.634
H4N4X1F2@AGnXF2_,1884.6869
H4N4S1F1@NaGnF_oder_NaMF(bi),1897.6821
H5N4XF@AAXF_,1900.6818
H5N4S1@NaA_oder_NaMan4(bi),1913.677
H5N5F1@AAF(bi)_,1971.7189
H10N2@Man9+1xHex,2026.6868
H4N4S1X1F1@NaMXF_,2029.7244
H5N4X1F2@AAXF2_,2046.7397
H5N4S1F1@NaAF_,2059.7349
H6N4S1@NaMan5(bi),2075.7298
H4N5S1F1@NaGnF(bi)_,2100.7615
H11N2@Man9+2xHex,2188.7396
H5N4S1X1F1@NaAXF_,2191.7772
H5N4X1F3@AAXF3_,2192.7976
H5N4S2@NaNa_,2204.7724
H5N5S1F1@NaAF(bi)_,2262.8143
H5N6F2@,2320.8562
H12N2@Man9+3xHex,2350.7924
H5N4S2F1@NaNaF_,2350.8303
H5N4S2X1F1@NaNaXF_,2482.8726
H13N2@Man9+4xHex,2512.8452
H5N5S2F1@NaNaF(bi)_,2553.9097
5N 6H@AAA,1987.7138
5N 6H 1F@AAAF,2133.7717
5N 6H 1S@NaAA,2278.8092
5N 6H 1F 1S@NaAAF,2424.8671
5N 6H 2S@NaNaA,2569.9046
5N 6H 1F 2S@NaNaAF,2715.9625
5N 6H 3S@NaNaNa,2861
5N 6H 1F 3S@NaNaNaF,3007.0579
6N 7H@AAAA,2352.846
6N 7H 1F@AAAAF,2498.9039
6N 7H 1S@NaAAA,2643.9414
6N 7H 1F 1S@NaAAAF,2789.9993
6N 7H 2S@NaNaAA,2935.0368
6N 7H 1F 2S@NaNaAAF,3081.0947
6N 7H 3S@NaNaNaA,3226.1322
6N 7H 1F 3S@NaNaNaAF,3372.1901
6N 7H 4S@NaNaNaNa,3517.2276
6N 7H 1F 4S@NaNaNaNaF,3663.2855
7N 8H@AAAAA,2717.9782
7N 8H 1F@AAAAAF,2864.0361
7N 8H 1S@NaAAAA,3009.0736
7N 8H 1F 1S@NaAAAAF,3155.1315
7N 8H 2S@NaNaAAA,3300.169
7N 8H 1F 2S@NaNaAAAF,3446.2269
7N 8H 3S@NaNaNaAA,3591.2644
7N 8H 1F 3S@NaNaNaAAF,3737.3223
7N 8H 4S@NaNaNaNaA,3882.3598
7N 8H 1F 4S@NaNaNaNaAF,4028.4177
8N 9H 3S@NaNaNaAAA,3956.3966
8N 9H 1F 3S@NaNaNaAAAF,4102.4545
8N 9H 4S@NaNaNaNaAA,4247.492
8N 9H 1F 4S@NaNaNaNaAAF,4393.5499
H3N2F2@MMFF,1184.433
H3N3F2@GnMFF,1387.5124
H3N4F2@GnGnFF,1590.5918
6N 3H 1F@GnGnGnGnF,1850.6927
6N 4H 1F@AGnGnGnF,2012.7455
6N 5H 1F@AAGnGnF,2174.7983
6N 5H 1F@AAAGnF,2336.8511
N1@single-GlcNAc_(Gn)_formyl,231.074315
H2N2@MU__formyl,758.259315
H2N2X@MUX__formyl,890.301615
H3N2@MM__formyl,920.312115
H2N2XF@MUXF__formyl,1036.359515
H3N2X@MMX__formyl,1052.354415
H3N2F@MMF__formyl,1066.370015
H4N2@Man4_formyl,1082.364915
H2N3F@GnUF_formyl,1107.396615
H3N3@GnM__formyl,1123.391515
H3N2XF@MMXF_formyl,1198.412315
H5N2@Man5_formyl,1244.417715
H3N3X@GnMX__formyl,1255.433815
H3N3F@GnMF_oder_MMF(bi)_formyl,1269.449415
H4N3@Man4Gn_oder_AM_formyl,1285.444315
H2N5F@GnUF(bi)__formyl,1310.476015
H3N4@GnGn__formyl,1326.470915
H3N3XF@GnMXF__formyl,1401.491715
H6N2@Man6_formyl,1406.470515
H4N3X@AMX__formyl,1417.486615
H4N3F@AMF__formyl,1431.502215
H5N3@Man5Gn_formyl,1447.497115
H3N4X@GnGnX__formyl,1458.513215
H3N4F@GnGnF_oder_GnMF(bi)_formyl,1472.528815
H4N4@AGn_oder_GnMan4(bi)_formyl,1488.523715
H4N3XF@AMXF__formyl,1563.544515
H7N2@Man7_formyl,1568.523315
H4N3S@NaM_formyl,1576.539715
H3N4XF@GnGnXF_formyl,1604.571115
H6N3@Man5Gn+1xHex_formyl,1609.549915
H4H4X@AGnX__formyl,1620.566015
H4N4F@AGnF_oder_AMF(bi)_formyl,1634.581615
H5N4@AA_oder_GnMan5(bi)_formyl,1650.576515
H3N5F@GnGnF(bi)__formyl,1675.608215
H4N3SF@NaMF__formyl,1722.597615
H8N2@Man8__formyl,1730.576115
H4H4XF@AGnXF_formyl,1766.623915
H4N4S@NaGn_oder_NaM(bi)_formyl,1779.619115
H5N4X@AAX__formyl,1782.618815
H5N4F@AAF__formyl,1796.634415
H6N4@AMan5(bi)_formyl,1812.629315
H4N5@AGnF(bi)__formyl,1837.661015
H9N2@Man9_formyl,1892.628915
H4N4X1F2@AGnXF2__formyl,1912.681815
H4N4S1F1@NaGnF_oder_NaMF(bi)_formyl,1925.677015
H5N4XF@AAXF__formyl,1928.676715
H5N4S1@NaA_oder_NaMan4(bi)_formyl,1941.671915
H5N5F1@AAF(bi)__formyl,1999.713815
H10N2@Man9+1xHex_formyl,2054.681715
H4N4S1X1F1@NaMXF__formyl,2057.719315
H5N4X1F2@AAXF2__formyl,2074.734615
H5N4S1F1@NaAF__formyl,2087.729815
H6N4S1@NaMan5(bi)_formyl,2103.724715
H4N5S1F1@NaGnF(bi)__formyl,2128.756415
H11N2@Man9+2xHex_formyl,2216.734515
H5N4S1X1F1@NaAXF__formyl,2219.772115
H5N4X1F3@AAXF3__formyl,2220.792515
H5N4S2@NaNa__formyl,2232.767315
H5N5S1F1@NaAF(bi)__formyl,2290.809215
H5N6F2@_formyl,2348.851115
H12N2@Man9+3xHex_formyl,2378.787315
H5N4S2F1@NaNaF__formyl,2378.825215
H5N4S2X1F1@NaNaXF__formyl,2510.867515
H13N2@Man9+4xHex_formyl,2540.840115
H5N5S2F1@NaNaF(bi)__formyl,2581.904615
5N 6H@AAA_formyl,2015.708715
5N 6H 1F@AAAF_formyl,2161.766615
5N 6H 1S@NaAA_formyl,2306.804115
5N 6H 1F 1S@NaAAF_formyl,2452.862015
5N 6H 2S@NaNaA_formyl,2597.899515
5N 6H 1F 2S@NaNaAF_formyl,2743.957415
5N 6H 3S@NaNaNa_formyl,2888.994915
5N 6H 1F 3S@NaNaNaF_formyl,3035.052815
6N 7H@AAAA_formyl,2380.840915
6N 7H 1F@AAAAF_formyl,2526.898815
6N 7H 1S@NaAAA_formyl,2671.936315
6N 7H 1F 1S@NaAAAF_formyl,2817.994215
6N 7H 2S@NaNaAA_formyl,2963.031715
6N 7H 1F 2S@NaNaAAF_formyl,3109.089615
6N 7H 3S@NaNaNaA_formyl,3254.127115
6N 7H 1F 3S@NaNaNaAF_formyl,3400.185015
6N 7H 4S@NaNaNaNa_formyl,3545.222515
6N 7H 1F 4S@NaNaNaNaF_formyl,3691.280415
7N 8H@AAAAA_formyl,2745.973115
7N 8H 1F@AAAAAF_formyl,2892.031015
7N 8H 1S@NaAAAA_formyl,3037.068515
7N 8H 1F 1S@NaAAAAF_formyl,3183.126415
7N 8H 2S@NaNaAAA_formyl,3328.163915
7N 8H 1F 2S@NaNaAAAF_formyl,3474.221815
7N 8H 3S@NaNaNaAA_formyl,3619.259315
7N 8H 1F 3S@NaNaNaAAF_formyl,3765.317215
7N 8H 4S@NaNaNaNaA_formyl,3910.354715
7N 8H 1F 4S@NaNaNaNaAF_formyl,4056.412615
8N 9H 3S@NaNaNaAAA_formyl,3984.391515
8N 9H 1F 3S@NaNaNaAAAF_formyl,4130.449415
8N 9H 4S@NaNaNaNaAA_formyl,4275.486915
8N 9H 1F 4S@NaNaNaNaAAF_formyl,4421.544815
H3N2F2@MMFF_formyl,1212.427915
H3N3F2@GnMFF_formyl,1415.507315
H3N4F2@GnGnFF_formyl,1618.586715
6N 3H 1F@GnGnGnGnF_formyl,1878.687615
6N 4H 1F@AGnGnGnF_formyl,2040.740415
6N 5H 1F@AAGnGnF_formyl,2202.793215
6N 5H 1F@AAAGnF_formyl,2364.846015
